约束项,实际值,下限要求,上限要求,是否通过,说明
预测误差裕量,16.0666618347168,0,NaN,通过,容量优化前已按 LSTM RMSE 对 P99 需求增加预测误差裕量
典型工况冷机最小负荷率,0.344645082950592,0.28,NaN,通过,避免在代表负荷下选择过度偏大的制冷容量
极端工况冷机最小容量裕量,0.054676990956068,0.03,NaN,通过,容量在安全系数和预测误差修正后需达到最小极端裕量
极端工况风机最小容量裕量,0.0392767898738384,0.03,NaN,通过,容量在安全系数和预测误差修正后需达到最小极端裕量
极端工况水泵最小容量裕量,0.0884047225117683,0.03,NaN,通过,容量在安全系数和预测误差修正后需达到最小极端裕量
极端工况AHU最小容量裕量,0.0721377357840538,0.03,NaN,通过,容量在安全系数和预测误差修正后需达到最小极端裕量
风机容量与制冷容量比,0.0546875,0.05,0.09,通过,保持风侧、水侧和 AHU 容量与制冷容量匹配
水泵容量与制冷容量比,0.05625,0.045,0.08,通过,保持风侧、水侧和 AHU 容量与制冷容量匹配
单位制冷容量AHU风量,300,260,360,通过,保持风侧、水侧和 AHU 容量与制冷容量匹配
